step,timestamp,reward,balance,realized_pnl,unrealized_pnl,position,action,trade_pnl
157,2024-09-26 13:05:00,-3.316775631916279,97978.24414806667,-2021.755851933356,-9.797824414806668,-1,0,-82.91939079790697
158,2024-09-26 13:10:00,-0.5476277252443701,97978.24414806667,-2021.755851933356,-27.381386262218506,-1,0,0.0
159,2024-09-26 13:15:00,-0.7134846723696785,97960.40703125743,-2039.592968742598,-9.796040703125744,1,1,-17.837116809241962
160,2024-09-26 13:20:00,-1.3386647695241394,97960.40703125743,-2039.592968742598,-66.93323847620697,1,1,0.0
161,2024-09-26 13:25:00,0.1029506819813847,97960.40703125743,-2039.592968742598,5.147534099069235,1,1,0.0
162,2024-09-26 13:30:00,3.259467922908695,98041.89372933016,-1958.1062706698806,-9.804189372933015,-1,0,81.48669807271737
163,2024-09-26 13:35:00,-0.5476270257580592,98041.89372933016,-1958.1062706698806,-27.38135128790296,-1,0,0.0
164,2024-09-26 13:40:00,2.8017644549227603,98111.93784070322,-1888.0621592968116,-9.811193784070321,1,1,70.04411137306901
165,2024-09-26 13:45:00,-1.348225316407423,98078.23220779303,-1921.7677922069972,-9.807823220779303,-1,0,-33.70563291018558
166,2024-09-26 13:50:00,1.010987861744611,98103.50690433664,-1896.493095663382,-9.810350690433664,1,1,25.274696543615278
167,2024-09-26 13:55:00,-0.11552904026145655,98100.61867833011,-1899.3813216699184,-9.810061867833012,-1,0,-2.8882260065364136
168,2024-09-26 14:00:00,-0.21381260814042313,98100.61867833011,-1899.3813216699184,-10.690630407021157,-1,0,0.0
169,2024-09-26 14:05:00,3.3366679201151395,98184.03537633299,-1815.9646236670399,-9.8184035376333,1,1,83.41669800287849
170,2024-09-26 00:00:00,-0.2,100000.0,0.0,-10.0,1,1,0.0
171,2024-09-26 00:05:00,0.46489959117656937,100000.0,0.0,23.24497955882847,1,1,0.0
172,2024-09-26 00:10:00,0.7812246731658958,100019.53061682914,19.530616829147394,-10.001953061682915,-1,0,19.530616829147394
173,2024-09-26 00:15:00,-0.9079670202099339,99996.8314413239,-3.168558676100954,-9.99968314413239,1,1,-22.69917550524835
